song_artist,instrument,level_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Raggetone,Konzert Bass Drum,count,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0
Raggetone,Konzert Snare Drum,count,27,0,0,27,0,0,27,0,27,0,0,27,0,0,27,0
Raggetone,Konzert Bass Drum,count,27,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0
Raggetone,Konzert Snare Drum,count,27,0,0,27,0,0,27,0,27,0,0,27,0,0,27,0
Cinquillo,Piano,count,20,0,20,20,0,20,20,0,20,0,20,20,0,20,20,0
Three side_two side,Piano,count,4,0,1,4,0,1,4,0,1,0,4,1,3,1,1,0
Vanilla_Tresillo,Piano,count,20,0,0,20,0,0,20,0,20,0,0,20,0,0,20,0
Tresillo over two,Piano,count,24,0,0,24,24,0,24,0,24,0,0,24,24,0,24,0
