song_artist,instrument,level_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
I Don't Care Ed Sheeran & Justin Bieber,"Pad Synthesizer, Warm Pad",count,18,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
I Don't Care Ed Sheeran & Justin Bieber,"Piano, Chords",count,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Don't Care Ed Sheeran & Justin Bieber,"Piano, Piano (High)",count,32,0,0,32,32,0,32,0,32,0,0,32,32,0,32,0
I Don't Care Ed Sheeran & Justin Bieber,"Piano, Piano (Low)",count,18,0,0,48,0,0,48,0,2,0,0,48,0,0,48,0
I Don't Care Ed Sheeran & Justin Bieber,"String Synthesizer, Synth Strings 1",count,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
I Don't Care Ed Sheeran & Justin Bieber,"Tenor Saxophone, Vocal Guide",count,13,1,4,2,4,8,4,10,14,4,12,1,13,3,12,10
I Don't Care Ed Sheeran & Justin Bieber,"Voice, Harmonies Guide",count,28,2,10,8,10,14,8,18,28,11,24,2,24,7,24,20
I Don't Care Ed Sheeran & Justin Bieber,"Voice, Voice Oohs (Long)",count,21,3,3,0,0,0,0,0,12,0,0,10,9,0,10,0
I Don't Care Ed Sheeran & Justin Bieber,"Voice, Voice Oohs (Short)",count,2,0,0,0,0,2,0,2,2,0,2,0,2,0,2,2
Chandelier Sia,Bass Synthesizer,count,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandelier Sia,Drumset,count,96,24,76,44,80,37,83,64,103,0,7,39,86,31,68,0
Chandelier Sia,Fretless Electric Bass,count,32,0,15,0,0,0,16,0,31,0,0,0,16,0,0,0
Chandelier Sia,Pad Synthesizer,count,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chandelier Sia,Piano,count,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandelier Sia,"Piano, Chandelier",count,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandelier Sia,Saw Synthesizer,count,63,0,31,0,31,0,31,0,31,0,31,0,31,0,30,0
Chandelier Sia,String Synthesizer,count,69,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Chandelier Sia,Strings,count,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandelier Sia,Tenor Saxophone,count,32,0,2,0,10,2,5,0,19,0,10,0,2,9,4,0
Chandelier Sia,na,count,228,0,0,0,93,0,0,0,97,0,0,0,93,0,0,0
"One Dance - Drake & Wizkid, Kyla Reid ",Acoustic Guitar,count,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"One Dance - Drake & Wizkid, Kyla Reid ",Alto,count,6,0,0,0,0,0,0,0,3,0,3,3,6,0,6,0
"One Dance - Drake & Wizkid, Kyla Reid ","Bass Synthesizer, ONE DANCE",count,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"One Dance - Drake & Wizkid, Kyla Reid ",Concert Snare Drum,count,56,0,0,56,56,0,56,0,56,56,0,0,112,0,0,22
"One Dance - Drake & Wizkid, Kyla Reid ",Drumset,count,104,0,104,64,220,0,220,0,104,0,104,64,221,0,220,0
"One Dance - Drake & Wizkid, Kyla Reid ",Effect Synthesizer,count,56,0,0,0,56,0,0,0,56,0,0,0,56,0,0,0
"One Dance - Drake & Wizkid, Kyla Reid ",Electric Guitar,count,21,0,0,0,0,0,4,0,4,0,2,0,11,0,2,0
"One Dance - Drake & Wizkid, Kyla Reid ",Pan Flute,count,47,8,27,29,40,4,38,15,47,3,11,11,46,22,23,16
"One Dance - Drake & Wizkid, Kyla Reid ",Piano,count,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"One Dance - Drake & Wizkid, Kyla Reid ",Shenai,count,6,0,6,6,6,0,6,0,6,0,0,0,3,0,3,0
"One Dance - Drake & Wizkid, Kyla Reid ",Sitar,count,6,0,6,6,6,0,6,0,6,0,0,0,3,0,3,0
"One Dance - Drake & Wizkid, Kyla Reid ",Strings,count,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"One Dance - Drake & Wizkid, Kyla Reid ",na,count,73,171,34,205,65,1,67,31,72,1,54,16,73,46,74,30
