song_artist,instrument,level_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Shape of you-Ed Sheran,"Marimba, untitled",count,134,0,0,0,0,0,102,8,31,0,0,0,115,11,0,0
Shape of you-Ed Sheran,Melodic Drum,count,0,0,0,0,48,35,43,21,18,5,32,6,75,2,0,0
Shape of you-Ed Sheran,Overdrive Gtr,count,12,0,3,0,7,0,3,0,10,0,4,1,12,0,2,0
Shape of you-Ed Sheran,Percussion,count,41,4,40,4,1,0,3,1,33,5,3,1,41,4,2,2
Shape of you-Ed Sheran,Tenor Sax,count,34,2,14,1,27,1,14,0,30,1,14,3,27,3,16,0
Shape of you-Ed Sheran,Woodblock,count,4,0,0,0,0,0,2,1,2,0,0,0,3,1,0,0
Shape of you-Ed Sheran,Xylophone,count,43,0,0,0,0,0,33,0,12,0,0,0,40,2,0,0
Treat you better-Shawn Mendes,Alto Sax,count,13,7,8,6,10,3,9,6,11,3,4,6,11,10,14,9
Treat you better-Shawn Mendes,Choir Aahs,count,8,2,4,6,12,0,5,1,8,0,0,2,13,7,7,7
Treat you better-Shawn Mendes,E.Piano,count,15,11,11,15,11,11,15,11,15,11,11,15,11,11,15,12
Treat you better-Shawn Mendes,Grand Piano,count,45,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
Treat you better-Shawn Mendes,Jazz Guitar,count,51,8,12,29,29,15,29,8,43,8,8,31,31,12,31,7
Treat you better-Shawn Mendes,Muted Guitar,count,14,7,7,14,7,7,14,7,13,7,7,13,7,7,13,7
Treat you better-Shawn Mendes,Percussion,count,20,5,15,20,3,6,38,6,22,10,14,25,5,10,41,10
Treat you better-Shawn Mendes,Picked Bass,count,15,0,0,15,11,0,8,0,15,0,0,15,11,0,13,0
Treat you better-Shawn Mendes,Solo Vox,count,3,0,0,3,3,0,2,0,3,0,0,3,3,0,1,0
Treat you better-Shawn Mendes,Syn.Strings 1,count,28,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
Treat you better-Shawn Mendes,Xylophone,count,32,4,4,32,13,4,32,4,36,4,4,36,16,4,36,5
Treat you better-Shawn Mendes,na,count,35,0,7,21,21,0,7,0,31,0,7,17,17,0,7,0
"Let Me Love You ft Justin Bieber-DJ Snake, Justin Bieber","Grand Piano, Bass (MIDI)",count,66,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0
"Let Me Love You ft Justin Bieber-DJ Snake, Justin Bieber","Grand Piano, Chords #2 (MIDI)",count,246,0,192,0,192,0,192,0,192,0,192,0,192,0,192,0
"Let Me Love You ft Justin Bieber-DJ Snake, Justin Bieber","Grand Piano, Melody #2 (MIDI)",count,82,12,78,36,71,12,20,7,47,8,25,20,78,23,64,30
"Cheap Thrills(feat. Sean Paul)-Sia, Sean Paul",Athmosphere,count,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
"Cheap Thrills(feat. Sean Paul)-Sia, Sean Paul",Bass Lead,count,12,0,0,12,12,0,12,0,12,0,0,12,12,0,12,0
"Cheap Thrills(feat. Sean Paul)-Sia, Sean Paul",Bright Piano,count,72,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0
"Cheap Thrills(feat. Sean Paul)-Sia, Sean Paul",Fingered Bass,count,12,0,0,12,12,0,12,0,12,0,0,12,12,0,12,0
"Cheap Thrills(feat. Sean Paul)-Sia, Sean Paul",Marimba,count,45,0,0,45,0,0,45,0,45,0,0,45,0,0,45,0
"Cheap Thrills(feat. Sean Paul)-Sia, Sean Paul",Ocarina,count,45,0,0,45,0,0,45,0,45,0,0,45,0,0,45,0
"Cheap Thrills(feat. Sean Paul)-Sia, Sean Paul",Percussion,count,30,12,12,33,72,0,12,0,30,12,12,38,72,0,12,0
"Cheap Thrills(feat. Sean Paul)-Sia, Sean Paul",Rain,count,45,0,0,45,0,0,45,0,45,0,0,45,0,0,45,0
"Cheap Thrills(feat. Sean Paul)-Sia, Sean Paul",Rev. Cymbal,count,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Cheap Thrills(feat. Sean Paul)-Sia, Sean Paul",Sitar,count,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
"Cheap Thrills(feat. Sean Paul)-Sia, Sean Paul",Sweep Pad,count,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheap Thrills(feat. Sean Paul)-Sia, Sean Paul","Syn.Strings 1, Cheap Thrills",count,36,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
"Cheap Thrills(feat. Sean Paul)-Sia, Sean Paul",Synth Voice,count,12,0,0,0,6,0,6,0,12,0,0,0,6,0,0,0
"Cheap Thrills(feat. Sean Paul)-Sia, Sean Paul",Tenor Sax,count,18,2,11,4,11,0,9,0,17,5,4,2,11,3,7,4
"Cheap Thrills(feat. Sean Paul)-Sia, Sean Paul",Voice Oohs,count,1,0,0,0,0,0,10,0,11,0,10,0,10,0,0,0
"Cheap Thrills(feat. Sean Paul)-Sia, Sean Paul",Warm Pad,count,54,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0
